"Freq [GHz]","dB(S(1,1)) [] - n='5mm'","dB(S(1,1)) [] - n='6mm'","dB(S(1,1)) [] - n='7mm'","dB(S(1,1)) [] - n='8mm'","dB(S(1,1)) [] - n='9mm'","dB(S(1,1)) [] - n='10mm'","dB(S(1,1)) [] - n='11mm'","dB(S(1,1)) [] - n='12mm'","dB(S(1,1)) [] - n='13mm'","dB(S(1,1)) [] - n='14mm'","dB(S(1,1)) [] - n='15mm'"
3.17042606516291,-0.00253327499809438,-0.00686540628264493,-0.0193000905483037,-0.0406107167410064,-0.0823211210828744,-0.141295467250939,-0.232642794772093,-0.334434181290818,-0.510023987339935,-0.687835874064054,-0.859535524746445
3.18045112781955,-0.00256307584625795,-0.00696324469241967,-0.0196308870506155,-0.041319853863765,-0.0838158360013543,-0.143874510708453,-0.236418668642024,-0.339731064389884,-0.518921927808896,-0.699829018697923,-0.876180996037454
3.19047619047619,-0.00259377896602418,-0.00706448070662611,-0.0199669975628195,-0.0420433112769679,-0.0853400604168398,-0.146519178114996,-0.24033173384635,-0.345310315894325,-0.528132381230492,-0.712170692215212,-0.893103654916525
3.20050125313283,-0.00262538657323452,-0.00716912518970692,-0.0203084595770455,-0.0427812457476349,-0.0868940697733034,-0.149230364548599,-0.244383951698921,-0.351174005093855,-0.537658157631715,-0.724864497572583,-0.910305452801252
3.21052631578947,-0.00265790092523699,-0.00727718919526686,-0.0206553119911955,-0.0435338168774477,-0.0884781413900762,-0.152008986012095,-0.248577310929491,-0.357324168130606,-0.547502013896236,-0.737913890618148,-0.927788210199525
3.22055137844612,-0.00269132432347444,-0.00738868397590049,-0.0210075952332423,-0.0443011871910999,-0.090092554435136,-0.154855981015753,-0.252913828174896,-0.363762807175791,-0.557666648730573,-0.751322170851012,-0.945553608681667
3.23057644110276,-0.00272565911619172,-0.00750362099331334,-0.0213653513947424,-0.0450835222273935,-0.0917375898981075,-0.157772312420767,-0.257395548474888,-0.370491889589376,-0.568154697477634,-0.765092471997093,-0.963603182679126
3.2406015037594,-0.00276090770119876,-0.00762201192878591,-0.0217286243740255,-0.0458809906331658,-0.0934135305638793,-0.160758969604486,-0.262024545772001,-0.377513347060491,-0.578968726778235,-0.779227752412504,-0.981938311119431
3.25062656641604,-0.00279707252870342,-0.00774386869392378,-0.0220974600296439,-0.0466937642601647,-0.0951206609879747,-0.16381697102537,-0.266802923414558,-0.384829074726179,-0.590111229081452,-0.793730785326651,-1.00056020890836
3.26065162907268,-0.00283415610425338,-0.00786920344178455,-0.0224719063445797,-0.0475220182649579,-0.0968592674751873,-0.166947367288261,-0.271732814662001,-0.392440930265983,-0.601584617005166,-0.808604148938604,-1.0194699182715
3.27067669172932,-0.00287216099173615,-0.00799802857831326,-0.0228520136017555,-0.0483659312119536,-0.0986296380632244,-0.170151244840938,-0.276816383191408,-0.400350732969834,-0.613391217548578,-0.823850216381382,-1.03866829996851
3.28070175438596,-0.0029110898164863,-0.00813035677414633,-0.0232378345713826,-0.0492256851796655,-0.100432062513574,-0.173429730473715,-0.282055823604097,-0.408560262776502,-0.625533266158867,-0.839471145570099,-1.05815602439509
3.29072681704261,-0.00295094526846041,-0.00826620097677352,-0.0236294247106058,-0.0501014658703147,-0.10226683231227,-0.176783996849627,-0.287453361930902,-0.417071259279898,-0.63801290065477,-0.85546886895112,-1.07793356258838
3.30075187969925,-0.00299173010553181,-0.00840557442308113,-0.0240268423759551,-0.0509934627228855,-0.104134240683795,-0.180215269369272,-0.293011256134662,-0.42588542070038,-0.650832155010247,-0.871845083170747,-1.09800117715363
